SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
INFY, EQ, 06-Aug-2021, 1653.55, 1657.00, 1660.65, 1644.00, 1652.10, 1650.20, 1652.90, 3754855, 62064.01, 100454, 2558438, 68.14
TCS, EQ, 06-Aug-2021, 3283.95, 3272.55, 3324.00, 3265.00, 3311.00, 3309.80, 3299.35, 2292362, 75633.09, 102596, 1459676, 63.68
HCLTECH, EQ, 06-Aug-2021, 1061.15, 1061.15, 1070.00, 1043.00, 1049.25, 1049.95, 1055.34, 11584782, 122258.37, 107623, 9463712, 81.69
WIPRO, EQ, 06-Aug-2021, 600.90, 603.75, 606.40, 596.30, 599.55, 598.00, 601.42, 5270200, 31696.29, 68379, 2113907, 40.11
LTI, EQ, 06-Aug-2021, 4704.70, 4735.00, 4800.00, 4674.00, 4765.00, 4762.55, 4746.26, 224775, 10668.40, 24995, 73381, 32.65
TATAELXSI, EQ, 06-Aug-2021, 4264.55, 4264.00, 4264.00, 4220.00, 4230.00, 4229.45, 4236.74, 59698, 2529.25, 11636, 35305, 59.14
NAUKRI, EQ, 06-Aug-2021, 5347.95, 5347.80, 5399.45, 5307.00, 5389.00, 5390.75, 5373.43, 219146, 11775.65, 20024, 89758, 40.96
TECHM, EQ, 06-Aug-2021, 1248.20, 1252.00, 1273.00, 1243.05, 1268.00, 1264.60, 1262.41, 3894726, 49167.53, 117731, 2122076, 54.49
HAPPSTMNDS, EQ, 06-Aug-2021, 1382.55, 1387.20, 1430.00, 1385.00, 1429.00, 1423.65, 1415.91, 1514198, 21439.62, 73268, 628578, 41.51
RELIANCE, EQ, 06-Aug-2021, 2134.25, 2129.95, 2146.95, 2078.75, 2090.00, 2089.05, 2101.07, 7670583, 161164.00, 225682, 3217925, 41.95
TATACONSUM, EQ, 06-Aug-2021, 768.35, 773.00, 798.35, 772.00, 780.00, 781.35, 783.89, 7849735, 61533.50, 91259, 4075878, 51.92
GODREJCP, EQ, 06-Aug-2021, 976.00, 975.20, 987.70, 969.25, 972.10, 972.25, 976.04, 581029, 5671.09, 20530, 241836, 41.62
BAJAJCON, EQ, 06-Aug-2021, 272.45, 270.00, 270.85, 266.70, 268.80, 268.85, 268.92, 558834, 1502.82, 15539, 287777, 51.50
SUNPHARMA, EQ, 06-Aug-2021, 786.15, 786.50, 796.45, 781.55, 785.20, 785.20, 788.89, 4064324, 32062.98, 56669, 1738275, 42.77
HDFC, EQ, 06-Aug-2021, 2661.70, 2657.00, 2673.00, 2621.40, 2630.60, 2628.10, 2646.31, 2139764, 56624.76, 104469, 1330649, 62.19
HDFCBANK, EQ, 06-Aug-2021, 1484.85, 1483.55, 1500.00, 1474.00, 1493.70, 1492.65, 1490.45, 6669635, 99407.73, 127752, 4102296, 61.51
HDFCLIFE, EQ, 06-Aug-2021, 669.50, 670.05, 675.50, 669.00, 673.50, 673.40, 671.87, 1749643, 11755.37, 39094, 1139144, 65.11
KOTAKBANK, EQ, 06-Aug-2021, 1771.75, 1769.00, 1784.70, 1756.15, 1779.30, 1777.20, 1776.87, 3640469, 64686.34, 93335, 2525931, 69.38
AXISBANK, EQ, 06-Aug-2021, 749.30, 747.00, 757.65, 738.80, 743.10, 740.85, 746.13, 6522599, 48667.17, 114970, 2864393, 43.91
BAJAJFINSV, EQ, 06-Aug-2021, 13994.90, 14070.00, 14108.70, 13975.00, 14003.70, 14005.65, 14034.36, 137473, 19293.45, 23235, 32137, 23.38
SBILIFE, EQ, 06-Aug-2021, 1134.75, 1140.00, 1154.25, 1127.45, 1151.25, 1150.70, 1142.88, 1654283, 18906.45, 48757, 892893, 53.97
AUBANK, EQ, 06-Aug-2021, 1240.10, 1239.95, 1284.00, 1211.35, 1246.30, 1248.80, 1255.63, 4125719, 51803.66, 108168, 748078, 18.13
ICICIBANK, EQ, 06-Aug-2021, 702.45, 705.05, 706.00, 695.70, 699.90, 697.65, 698.75, 14701949, 102729.54, 168421, 9781321, 66.53
IRFC, EQ, 06-Aug-2021, 23.65, 23.50, 23.60, 23.30, 23.55, 23.55, 23.47, 8223906, 1930.29, 12415, 4214048, 51.24
RVNL, EQ, 06-Aug-2021, 29.25, 29.40, 30.00, 29.25, 29.75, 29.65, 29.72, 2176874, 647.06, 6101, 830196, 38.14
ITC, EQ, 06-Aug-2021, 215.25, 215.40, 216.00, 212.60, 214.60, 214.25, 214.19, 23581637, 50508.77, 133898, 11335234, 48.07
HINDUNILVR, EQ, 06-Aug-2021, 2357.70, 2357.70, 2380.75, 2357.50, 2372.65, 2371.50, 2370.31, 1432661, 33958.45, 63436, 1085240, 75.75
